id,name,price,ds
0,Unagi,9.87,2025-04-21
1,Anago,9.41,2025-04-21
2,Ikura,8.26,2025-04-21
3,Ebi,7.87,2025-04-21
4,Aji,9.21,2025-04-21
5,Saba,3.44,2025-04-21
6,Hokigai,5.92,2025-04-21
7,Tsubugai,6.14,2025-04-21
8,Umi Masu,9.28,2025-04-21
9,Aoyagi,9.95,2025-04-21
10,Tai,5.67,2025-04-21
11,Kanpachi,3.68,2025-04-21
12,Iwashi,8.52,2025-04-21
13,Maguro,3.01,2025-04-21
14,Ahi,6.43,2025-04-21
15,Hirame,4.26,2025-04-21
16,Escolar,8.64,2025-04-21
17,Hamachi Toro,7.21,2025-04-21
0,Tobiko,5.49,2025-04-22
1,Ikura,3.65,2025-04-22
2,Umi Masu,4.55,2025-04-22
3,Tamago,9.65,2025-04-22
4,Ahi,7.86,2025-04-22
5,Maguro,5.42,2025-04-22
6,Hokigai,4.91,2025-04-22
7,Iwashi,8.28,2025-04-22
8,Sake,6.0,2025-04-22
9,Kani,5.31,2025-04-22
0,Sake,6.81,2025-04-23
1,Amaebi,8.9,2025-04-23
2,Aoyagi,4.72,2025-04-23
3,Katsuo,5.36,2025-04-23
4,Iwashi,3.03,2025-04-23
5,Kani,3.74,2025-04-23
6,Tsubugai,4.28,2025-04-23
7,Ebi,9.63,2025-04-23
8,Saba,4.12,2025-04-23
9,Ika,9.34,2025-04-23
10,Anago,7.59,2025-04-23
11,Hirame,9.81,2025-04-23
12,Tamago,4.15,2025-04-23
13,Tako,7.45,2025-04-23
14,Sake Toro,5.12,2025-04-23
15,Tai,8.37,2025-04-23
16,Hotate,5.33,2025-04-23
17,Toro,8.48,2025-04-23
18,Hamachi,6.79,2025-04-23
19,Umi Masu,7.22,2025-04-23
20,Tobiko,8.19,2025-04-23
21,Ahi,9.97,2025-04-23
0,Tai,4.83,2025-04-24
1,Anago,6.9,2025-04-24
2,Tsubugai,9.87,2025-04-24
3,Sake,4.7,2025-04-24
4,Aji,5.08,2025-04-24
5,Kani,7.27,2025-04-24
6,Katsuo,4.2,2025-04-24
7,Ika,6.04,2025-04-24
8,Ahi,3.37,2025-04-24
9,Aoyagi,5.43,2025-04-24
10,Hirame,7.74,2025-04-24
11,Hamachi Toro,7.84,2025-04-24
12,Ebi,5.92,2025-04-24
13,Saba,3.24,2025-04-24
14,Amaebi,8.2,2025-04-24
0,Aoyagi,8.02,2025-04-25
1,Ebi,5.58,2025-04-25
2,Sake Toro,9.47,2025-04-25
3,Hamachi Toro,5.36,2025-04-25
4,Iwashi,6.12,2025-04-25
5,Tobiko,4.24,2025-04-25
6,Ahi,5.99,2025-04-25
7,Unagi,7.07,2025-04-25
8,Tako,8.8,2025-04-25
9,Ika,7.89,2025-04-25
10,Hirame,4.35,2025-04-25
11,Amaebi,6.55,2025-04-25
12,Escolar,4.63,2025-04-25
13,Anago,5.85,2025-04-25
14,Sake,4.42,2025-04-25
15,Kanpachi,7.79,2025-04-25
16,Tsubugai,9.56,2025-04-25
17,Bincho,3.81,2025-04-25
18,Maguro,9.4,2025-04-25
19,Hamachi,4.66,2025-04-25
20,Aji,8.27,2025-04-25
21,Tamago,9.31,2025-04-25
22,Uni,9.56,2025-04-25
23,Toro,5.12,2025-04-25
24,Katsuo,6.55,2025-04-25
25,Tai,8.51,2025-04-25
26,Saba,8.63,2025-04-25
27,Kani,3.84,2025-04-25
28,Hokigai,5.76,2025-04-25
0,Toro,6.94,2025-04-26
1,Hotate,3.02,2025-04-26
2,Hamachi Toro,6.86,2025-04-26
3,Tai,4.13,2025-04-26
4,Aoyagi,6.77,2025-04-26
5,Tako,7.82,2025-04-26
6,Kanpachi,4.48,2025-04-26
7,Saba,4.39,2025-04-26
8,Katsuo,4.57,2025-04-26
9,Uni,4.91,2025-04-26
10,Tsubugai,8.27,2025-04-26
11,Anago,5.18,2025-04-26
12,Unagi,4.91,2025-04-26
13,Sake,7.58,2025-04-26
14,Tobiko,5.36,2025-04-26
15,Hamachi,5.4,2025-04-26
16,Iwashi,8.1,2025-04-26
17,Ikura,5.98,2025-04-26
18,Ebi,6.72,2025-04-26
0,Iwashi,5.44,2025-04-27
1,Anago,3.72,2025-04-27
2,Katsuo,8.62,2025-04-27
3,Hamachi Toro,7.55,2025-04-27
4,Bincho,6.05,2025-04-27
5,Tamago,4.56,2025-04-27
6,Escolar,5.44,2025-04-27
7,Sake,6.0,2025-04-27
8,Unagi,8.08,2025-04-27
9,Ikura,7.66,2025-04-27
10,Kanpachi,6.02,2025-04-27
11,Ika,6.91,2025-04-27
12,Sake Toro,7.84,2025-04-27
13,Aoyagi,3.46,2025-04-27
14,Saba,3.26,2025-04-27
15,Tsubugai,4.22,2025-04-27
16,Umi Masu,4.42,2025-04-27
17,Aji,6.12,2025-04-27
18,Ahi,5.03,2025-04-27
19,Tobiko,8.85,2025-04-27
20,Toro,3.42,2025-04-27
21,Ebi,7.73,2025-04-27
22,Hirame,6.37,2025-04-27
23,Maguro,5.54,2025-04-27
24,Hamachi,9.06,2025-04-27
25,Uni,3.31,2025-04-27
